Mindong,Mandarin Trans.
"天氣預報半個月日指名福州三回, 講南方別塊地方雨大逿, 儂家福州卻趁早焅遘暝,","半個月來, 南方普降暴雨, 福州卻在副熱帶高壓控制下悶熱異常, 已被天氣預報點名至少三次. 持續高溫悶熱, 常年七月高溫最多,"
無 天理 啊<typofix=吓>!,福州人太難了!
"雨㑚分仂囝遘福建來,","要是天公作美, 把江南, 西南的雨水分一點到福建來,"
"讓儂家卜高考其依弟依妹涼囇,","讓即將高考的學弟學妹們涼快涼快,"
偌好啊!,該多好!
"暝晡走出來,","夜裏逃到江邊透氣,"
"該好江邊月野光, 風野透,","還好明月高懸, 涼風習習,"
"吹蜀吹身會快,","吹得身心舒暢,"
"頭腦會清醒,","頭腦清醒,"
故會看依伯放紙鷂.,順便欣賞依伯放風箏.
"今晡行下躒蜀躒,","今晚下樓走走,"
有好価發現!,有諸多發現!
"公園裏亭囝起好価,","公園裏建起不少狹長的涼亭,"
共龍船厝蜀樣.,像停放龍舟的廊道.
"故有, 北江濱市民廣場前後起了八年,","等待了整整八年,"
這幾日也完成了!,北江濱市民廣場近日終於完工!
"嚽是蜀芘大平臺, 硩江濱路懸頂,","這是一個橫跨江濱大道,"
"共閩江公園連蜀堆,","與閩江公園相連的巨大平臺,"
也是拍夜景相片復新復俊其地方.,也是拍攝慢速快門夜景照片的新寶地.
