Mindong,Mandarin Trans.
"排攤 做蜀下 變 野 行時 去 ,",擺地攤在一夜之間走紅了!
"樓下 路邊 夜市 , 早市 過 半年 也 重新 排 出 囉 !","時隔半年, 樓下街邊的夜市, 早市終於重開!"
"衣裳 , 鑼盆 , 盆栽 , 金魚 , 客調乇<typofix=客佻乇> ,","衣服, 臉盆, 盆栽, 金魚, 玩具,"
"逢式 都 有 ,","不一而足,"
"肉 , 菜 , 瓜 , 水果 ,","肉, 菜, 瓜, 果,"
逢乇 都 賣 .,樣樣都有.
"野 価 姆姆 , 婆婆 , 嬷嬷<typofix=媽媽> 都 剋 蜀 堆 ,","一眾依姆, 婆婆, 姨奶奶擠成一團,"
蔣<m=怎麼><typofix=蔣樣><y=zuong242> 曉<m=知道> 伊各儂<m=他們> 有 無<m=沒有> 罩<m=戴> 口罩 啊<typofix=吓><m=啊> !,
,人頭攢動.
,"進入全民擺攤時代,"
"底 蜀 日 儂家 也 試 𡅏 擺 囇 ,","哪天我也擺擺試試看,"
爲 國家 經濟 做 貢獻 !,爲國家經濟做貢獻!
"但是 , 阿嬷<typofix=媽> 講 ,","可是, 阿嬤說,"
夜市 時間 也有好 .,夜市的時間還不錯.
"早市 半暝 四 五 點 就 開始 了 , 天 故 未 光 啊<typofix=吓> ,","早市在天還沒亮的四五點就開始,"
七 八 點 就 收 了 .,早上七八點就收攤了.
"汝 平常 㑚 八 九 點 爬起 ,","你平常要是八九點纔起床,"
肯定 儥 赴 啦 !,根本見不著!
"嚽 者<typofix=正> 是 正正其 排攤 ,","這纔是原汁原味的擺攤,"
共 許樣款 停 幾 架 車 做有味 其 排攤 蔣 蜀 色 ?,那些停幾排車做樣子的擺攤怎能與這相提並論?
