Mindong,Mandarin Trans.
"昨日 福州 熱 過 四十 度, 趁 我 生 下 起 第 二 回 見 有 ,","自打我記事以來, 也纔見過兩次福州最高溫突破四十度. 第一次在十年前, 第二次就是昨天!"
歷史 懸頂 也 㑚 第 四 回 !,歷史上也才四次.
掏 這樣款 全國 第一 野 儥 受 啊<typofix=吓> !,"福州奪得高溫全國冠軍, 狂超海南島, 勇勝吐魯番, 百感交集."
"別塊 做 大水 , 儂家 乞 火燒 .","別處防汛, 本地防暑, 同在南方, 水火兩重天."
"連 𡅏 幾 禮拜 ,","連續數周,"
早起頭 七 八 點 阿蠐 就 告告叫 了 .,清晨蟬鳴.
"下晝 三 四 點 行 出 ,","午後出門,"
"地兜 盡 像 𡅏 噴<y=pung53> 火<y=hui33> ,","地面噴火,"
蜀 身 兩下七 就 卜 着 了 .,全身仿佛被點著.
"暝晡 如果 無 風 就 像 蒸籠 ,","無風夜晚, 悶似蒸籠,"
"流汗 無 停 蜀 歇 , 無 開 空調 根本 睏 儥 着 .",離開空調猶如魚兒離開水.
"逐逐日<y=dyk21-dyk21-nik5> 都<y=du53> 茲<typofix=這><y=zi21> 熱<y=iek5> ,","日日高溫悶熱, 早晚濕熱難耐,"
"天氣預報 都 看 儥 下 了 , 指名 好 価 回 .","福州至少被央視天氣預報點名六至七次,"
,"獨具一格,"
,不得不混剪痛快一下!
者<m=這> 熱天 着<m=要> 做<m=持續> 遘<m=到> 乜候<m=什麼時候><typofix=乜乇前後><y=mieng53-au242> 了 也 儥<m=不> 仈<m=知道> !,
,"如果讓國土微微向東南傾斜,"
,"分一點長江流域的雨水來,"
,"既退水又退熱, 該多好!"
