Mindong,Mandarin Trans.
"這兩工量子力學其分數現了,","這兩天量子力學課程出成績了,"
乞自家估計其蜀樣.,符合自己當初的預期.
"依嬷<typofix=依媽> 野 高興 , 講 : 嚽 是 汝 自家 着 厝 努力 讀書 其 成果 , 野 好 !","奶奶很高興, 說: 這是你自己居家努力學習的成果, 很好!"
伊故問: 世乇號𡅏量子力學? 研究世乇其?,她又問: 什麽是量子力學? 研究什麽的呢?
"我回答: 是研究野嫩野嫩乇其運動, 這樣款乇使儂家目睭都儥看見, 但是敆手機, 電腦裏勢野価, 都伓數了.","我回答: 它研究的是很小很小東西, 微觀粒子的運動, 這些東西我們用眼睛根本看不見, 但是在手機, 電腦裏多得數不清了."
"不過, 量子其解釋儥容易講清楚, 就無乞嬷嬷細講了.","不過, 量子的確切概念不容易講明白, 就沒有向奶奶說了."
"㑚 共 厝𡅏儂 介紹 量子力學 學 其 波函數, Schrodinger<typofix=Schrödinger><lan=de> 方程 , 驚 伊各儂 會 聽 凝 許塊 去 !","要是對家人介紹量子力學所學的波函數, 薛定諤方程, 怕是讓他們都得呆住了吧!"
"故有物理化學這萆堂,","還有物理化學這門課,"
"儂 講 : 哀啊<typofix=哀吓> ! 者 堂 野 霸 ! 物理 , 化學 摳 蜀 堆 上 , 頭 回 聽 講 啊<typofix=吓> .",有人說: 第一次聽說物理化學能合在一門課上學習啊!
"嗄, 讓親朋都開眼了.","哈, 讓親朋好友都開眼了."
其實者堂教儂家使物理方法研究化學啊.,其實物理化學是用物理的方法研究化學啊.
